id_source,id_target,route_id,route_color
40897390,40887390,1,EE352E
40887390,40887390,1,EE352E
40887390,40877391,1,EE352E
40877391,40877392,1,EE352E
40877392,40867392,1,EE352E
40867392,40867393,1,EE352E
40867393,40867393,1,EE352E
40867393,40857393,1,EE352E
40857393,40847394,1,EE352E
40847394,40837394,1,EE352E
40837394,40837395,1,EE352E
40837395,40827395,1,EE352E
40827395,40827396,1,EE352E
40827396,40817396,1,EE352E
40817396,40807397,1,EE352E
40807397,40807397,1,EE352E
40807397,40797397,1,EE352E
40797397,40797398,1,EE352E
40797398,40787398,1,EE352E
40787398,40787398,1,EE352E
40787398,40777398,1,EE352E
40777398,40777398,1,EE352E
40777398,40767398,1,EE352E
40767398,40767399,1,EE352E
40767399,40757399,1,EE352E
40757399,40757399,1,EE352E
40757399,40747400,1,EE352E
40747400,40747400,1,EE352E
40747400,40737400,1,EE352E
40737400,40737401,1,EE352E
40737401,40727401,1,EE352E
40727401,40727401,1,EE352E
40727401,40717401,1,EE352E
40717401,40717401,1,EE352E
40717401,40707401,1,EE352E
40707401,40717401,1,EE352E
40717401,40727401,1,EE352E
40727401,40737401,1,EE352E
40737401,40737400,1,EE352E
40737400,40747400,1,EE352E
40747400,40757399,1,EE352E
40757399,40767399,1,EE352E
40767399,40767398,1,EE352E
40767398,40777398,1,EE352E
40777398,40787398,1,EE352E
40787398,40797398,1,EE352E
40797398,40797397,1,EE352E
40797397,40807397,1,EE352E
40807397,40817396,1,EE352E
40817396,40827396,1,EE352E
40827396,40827395,1,EE352E
40827395,40837395,1,EE352E
40837395,40837394,1,EE352E
40837394,40847394,1,EE352E
40847394,40857393,1,EE352E
40857393,40867393,1,EE352E
40867393,40867392,1,EE352E
40867392,40877392,1,EE352E
40877392,40877391,1,EE352E
40877391,40887390,1,EE352E
40887390,40897390,1,EE352E
40907385,40907385,2,EE352E
40907385,40897386,2,EE352E
40897386,40897386,2,EE352E
40897386,40887386,2,EE352E
40887386,40887387,2,EE352E
40887387,40877387,2,EE352E
40877387,40877387,2,EE352E
40877387,40867387,2,EE352E
40867387,40857387,2,EE352E
40857387,40847387,2,EE352E
40847387,40847388,2,EE352E
40847388,40847389,2,EE352E
40847389,40837389,2,EE352E
40837389,40827389,2,EE352E
40827389,40827390,2,EE352E
40827390,40827390,2,EE352E
40827390,40827391,2,EE352E
40827391,40827392,2,EE352E
40827392,40827393,2,EE352E
40827393,40817394,2,EE352E
40817394,40817395,2,EE352E
40817395,40807395,2,EE352E
40807395,40807395,2,EE352E
40807395,40797397,2,EE352E
40797397,40797398,2,EE352E
40797398,40787398,2,EE352E
40787398,40787398,2,EE352E
40787398,40777398,2,EE352E
40777398,40777398,2,EE352E
40777398,40767398,2,EE352E
40767398,40767399,2,EE352E
40767399,40757399,2,EE352E
40757399,40757399,2,EE352E
40757399,40747400,2,EE352E
40747400,40747400,2,EE352E
40747400,40737400,2,EE352E
40737400,40737401,2,EE352E
40737401,40727401,2,EE352E
40727401,40727401,2,EE352E
40727401,40717401,2,EE352E
40717401,40717401,2,EE352E
40717401,40707399,2,EE352E
40707399,40697399,2,EE352E
40697399,40697399,2,EE352E
40697399,40697398,2,EE352E
40697398,40687398,2,EE352E
40687398,40687398,2,EE352E
40687398,40687397,2,EE352E
40687397,40677396,2,EE352E
40677396,40677396,2,EE352E
40677396,40677395,2,EE352E
40677395,40667395,2,EE352E
40667395,40667395,2,EE352E
40667395,40657395,2,EE352E
40657395,40657395,2,EE352E
40657395,40647395,2,EE352E
40647395,40637395,2,EE352E
40637395,40647395,2,EE352E
40647395,40657395,2,EE352E
40657395,40667395,2,EE352E
40667395,40677395,2,EE352E
40677395,40677396,2,EE352E
