stop_id,stop_name,transfers,borough
WTC,World Trade Center,2 3 A C E R W,M
A34,Canal St,A C E,M
A33,Spring St,C E,M
A32,W 4 St-Wash Sq,A C E B D F M,M
L01,14 St-8 Av,A C E L,M
A30,23 St,C E,M
PEN,34 St-Penn Station,A C E 1 2 3,M
127,42 St-Port Authority Bus Terminal,1 2 3 7 A C E N Q R W S,M
A25,50 St,C E,M
D14,7 Av,B D E,M
F12,5 Av/53 St,E F,M
LEX,Lexington Av/53 St,E F 6,M
CSQ,Court Sq-23 St,7 E F G,Q
G21,Queens Plaza,E F R,Q
710,Jackson Hts-Roosevelt Av,7 E F M R,Q
G08,Forest Hills-71 Av,E F M R,Q
F07,75 Av,E F,Q
F06,Kew Gardens-Union Tpke,E F,Q
F05,Briarwood,E F,Q
G07,Jamaica-Van Wyck,E,Q
G06,Sutphin Blvd-Archer Av-JFK Airport,E J Z,Q
G05,Jamaica Center-Parsons/Archer,E J Z,Q
