stop_id,stop_name,transfers,borough
R45,Bay Ridge-95 St,R,Bk
R44,86 St,R,Bk
R43,77 St,R,Bk
R42,Bay Ridge Av,R,Bk
R41,59 St,N R,Bk
R40,53 St,R,Bk
R39,45 St,R,Bk
R36,36 St,D N R,Bk
R35,25 St,R,Bk
R34,Prospect Av,R,Bk
4A9,4 Av-9 St,R F G,Bk
R32,Union St,R,Bk
AAB,Atlantic Av-Barclays Ctr,2 3 4 5 B Q D N R,Bk
R30,DeKalb Av,B Q R,Bk
JAY,Jay St-MetroTech,A C F R,Bk
BOR,Court St,2 3 4 5 R,Bk
R27,Whitehall St-South Ferry,1 R W,M
R26,Rector St,R W,M
WTC,Cortlandt St,2 3 A C E R W,M
R24,City Hall,R W,M
CAN,Canal St,6 N Q R W J Z,M
R22,Prince St,R W,M
NYU,8 St-NYU,R W,M
USQ,14 St-Union Sq,4 5 6 N Q R W L,M
R19,23 St,R W,M
R18,28 St,R W,M
HSQ,34 St-Herald Sq,B D F M N Q R W,M
127,Times Sq-42 St,1 2 3 7 A C E N Q R W S,M
R15,49 St,N R W,M
R14,57 St-7 Av,N Q R W,M
R13,5 Av/59 St,N R W,M
R11,Lexington Av/59 St,N R W 4 5 6,M
G21,Queens Plaza,E M R,Q
G20,36 St,M R,Q
G19,Steinway St,M R,Q
G18,46 St,M R,Q
G16,Northern Blvd,M R,Q
G15,65 St,M R,Q
710,Jackson Hts-Roosevelt Av,7 E F M R,Q
G13,Elmhurst Av,M R,Q
G12,Grand Av-Newtown,M R,Q
G11,Woodhaven Blvd,M R,Q
G10,63 Dr-Rego Park,M R,Q
G09,67 Av,M R,Q
G08,Forest Hills-71 Av,E F M R,Q
