stop_id,stop_name,transfers,borough
R27,Whitehall St-South Ferry,1 R W,M
R26,Rector St,R W,M
R25,Cortlandt St,R W,M
R24,City Hall,R W,M
CAN,Canal St,6 N Q R W J Z,M
R22,Prince St,R W,M
NYU,8 St-NYU,R W,M
USQ,14 St-Union Sq,4 5 6 N Q R W L,M
R19,23 St,R W,M
R18,28 St,R W,M
HSQ,34 St-Herald Sq,B D F M N Q R W,M
127,Times Sq-42 St,1 2 3 7 A C E N Q R W S,M
R15,49 St,N R W,M
R14,57 St-7 Av,N Q R W,M
R13,5 Av/59 St,N R W,M
R11,Lexington Av/59 St,N R W 4 5 6,M
QBP,Queensboro Plaza,7 N W,Q
W05,36 Av,W,Q
W04,Broadway,W,Q
W03,30 Av,W,Q
R03,Astoria Blvd,N W,Q
R01,Astoria-Ditmars Blvd,N W,Q
