id,station_id
40897390,101
40887390,103
40877391,106
40877392,107
40867392,108
40867393,109
40857393,111
40847394,112
40837394,113
40837395,114
40827395,115
40827396,116
40817396,117
40807397,118
40797397,120
40797398,121
40787398,122
40777398,124
40767398,126
40767399,127
40757399,128
40747400,130
40737400,133
40737401,134
40727401,135
40717401,138
40707401,140
40907385,201
40897386,205
40887386,207
40887387,208
40877387,209
40867387,211
40857387,212
40847387,213
40847388,214
40847389,215
40837389,216
40827389,217
40827390,218
40827391,220
40827392,221
40827393,222
40817394,224
40817395,225
40807395,226
40707399,231
40697399,232
40697398,234
40687398,235
40687397,237
40677396,238
40677395,241
40667395,242
40657395,244
40647395,246
40637395,247
40677394,249
40677393,250
40667392,251
40667391,253
40667390,254
40667389,255
40677389,256
40677388,257
40827394,301
40897388,401
40887388,402
40877389,405
40877390,406
40867390,407
40857391,409
40847391,411
40847392,412
40837393,414
40817393,416
40897383,501
40887384,502
40877385,503
40867386,504
40857386,505
40857383,601
40847384,603
40847385,606
40837385,607
40837386,608
40837387,609
40837388,611
40817390,615
40817391,616
40817392,618
40807394,621
40797395,624
40787396,626
40777396,627
40767397,629
40757398,631
40747398,633
40747399,634
40737399,635
40727400,638
40717400,640
40767383,701
40757385,702
40757386,705
40757387,707
40757388,708
40757389,710
40757390,711
40747391,713
40747392,714
40747393,716
40757394,718
40757395,719
40747395,720
40767400,726
40877393,A03
40857394,A06
40807396,A17
40797396,A19
40787397,A21
40757400,A30
40697397,A43
40687396,A45
40687395,A46
40687394,A47
40687393,A48
40687392,A49
40687391,A50
40677390,A52
40687387,A55
40687386,A59
40687385,A60
40687384,A61
40687383,A64
40697383,A65
40767395,B06
40657399,B12
40647399,B13
40637400,B15
40627400,B17
40617400,B18
40607400,B20
40607399,B21
40597398,B23
40877388,D01
40837392,D10
40727399,D22
40667396,D26
40657396,D28
40647396,D29
40637396,D32
40627396,D34
40617396,D35
40607396,D37
40597395,D39
40587396,D40
40587397,D41
40587398,D42
40717378,F01
40717379,F02
40717380,F03
40717381,F04
40717382,F05
40717383,F06
40727384,F07
40717399,F16
40687400,F21
40677400,F22
40677399,F23
40677398,F24
40667398,F25
40657398,F26
40647398,F27
40637398,F30
40627398,F32
40627397,F33
40617397,F34
40607397,F35
40597397,F38
40707380,G05
40707381,G06
40707382,G07
40737385,G09
40737386,G10
40737387,G11
40747388,G12
40757391,G16
40767391,G18
40767392,G19
40757393,G20
40737395,G26
40727395,G28
40717395,G29
40707395,G31
40697395,G32
40697396,G34
40677384,H01
40677383,H02
40667383,H03
40617382,H04
40597380,H06
40597379,H07
40597378,H08
40607377,H09
40607376,H10
40597381,H12
40597382,H13
40587383,H14
40587384,H15
40707383,J12
40707384,J13
40697385,J15
40697386,J16
40697387,J17
40687388,J21
40687389,J23
40687390,J24
40697392,J29
40697393,J31
40737398,L06
40727396,L08
40717394,L11
40717393,L14
40717392,L15
40707392,L16
40707391,L17
40707390,L19
40697390,L20
40657390,L28
40717389,M01
40717390,M04
40707393,M10
40707394,M11
40717396,M16
40647401,N02
40637401,N03
40627399,N05
40617398,N07
40607398,N08
40787395,Q04
40787391,R01
40777392,R03
40767393,R05
40667400,R35
40657401,R39
40647402,R41
40637402,R42
40637403,R43
40627403,R44
40517425,S09
40527424,S11
40527423,S13
40527422,S14
40537420,S15
40537419,S16
40547418,S17
40547416,S18
40557415,S19
40567414,S20
40577413,S21
40577412,S22
40587411,S23
40587410,S24
40597410,S25
40607409,S26
40607408,S27
40627407,S28
40637408,S29
40647407,S30
